2019-05-17 07:30:40	0	999
2019-05-17 07:30:40	1000	1999
2019-05-17 07:30:41	2000	2999
2019-05-17 07:30:41	3000	3999
2019-05-17 07:30:41	4000	4999
2019-05-17 07:30:41	5000	5999
2019-05-17 07:30:42	6000	6999
2019-05-17 07:30:42	7000	7999
2019-05-17 07:30:42	8000	8999
2019-05-17 07:30:43	9000	9999
2019-05-17 07:30:43	10000	10999
2019-05-17 07:30:43	11000	11999
2019-05-17 07:30:43	12000	12999
2019-05-17 07:30:44	13000	13999
2019-05-17 07:30:44	14000	14999
2019-05-17 07:30:44	15000	15999
2019-05-17 07:30:45	16000	16999
2019-05-17 07:30:45	17000	17999
2019-05-17 07:30:45	18000	18999
2019-05-17 07:30:45	19000	19999
2019-05-17 07:30:46	20000	20999
2019-05-17 07:30:46	21000	21999
2019-05-17 07:30:46	22000	22999
2019-05-17 07:30:47	23000	23999
2019-05-17 07:30:47	24000	24999
2019-05-17 07:30:47	25000	25999
2019-05-17 07:30:48	26000	26999
2019-05-17 07:30:48	27000	27999
2019-05-17 07:30:48	28000	28999
2019-05-17 07:30:48	29000	29999
2019-05-17 07:30:49	30000	30999
2019-05-17 07:30:49	31000	31999
2019-05-17 07:30:49	32000	32999
2019-05-17 07:30:50	33000	33999
2019-05-17 07:30:50	34000	34999
2019-05-17 07:30:50	35000	35999
2019-05-17 07:30:50	36000	36999
2019-05-17 07:30:51	37000	37999
2019-05-17 07:30:51	38000	38999
2019-05-17 07:30:51	39000	39999
2019-05-17 07:30:52	40000	40999
2019-05-17 07:30:52	41000	41999
2019-05-17 07:30:52	42000	42999
2019-05-17 07:30:52	43000	43999
2019-05-17 07:30:53	44000	44999
2019-05-17 07:30:53	45000	45999
2019-05-17 07:30:53	46000	46999
2019-05-17 07:30:54	47000	47999
2019-05-17 07:30:54	48000	48999
2019-05-17 07:30:54	49000	49999
